[DEBUG] 2022-02-27 13:35:11.502 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2022-02-27 13:35:11.504 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2022-02-27 13:35:11.507 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2022-02-27 13:35:11.571 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2022-02-27 13:35:11.573 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2022-02-27 13:35:11.735 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2022-02-27 13:35:11.735 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2022-02-27 13:35:11.744 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2022-02-27 13:35:11.983 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2022-02-27 13:35:12.080 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2022-02-27 13:35:12.082 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2022-02-27 13:35:12.100 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2022-02-27 13:35:12.124 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@7e7f0216
[DEBUG] 2022-02-27 13:35:12.124 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@7e7f0216
[DEBUG] 2022-02-27 13:35:12.125 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@7e7f0216
[DEBUG] 2022-02-27 13:35:12.125 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@6724cdec
[DEBUG] 2022-02-27 13:35:12.125 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@1a4d1ab7
[DEBUG] 2022-02-27 13:35:12.126 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@1292071f
[DEBUG] 2022-02-27 13:35:12.126 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@78d6447a
[DEBUG] 2022-02-27 13:35:12.126 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@78d6447a
[DEBUG] 2022-02-27 13:35:12.126 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@78d6447a
[DEBUG] 2022-02-27 13:35:12.127 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@761e788f
