[DEBUG] 2022-02-27 14:11:29.903 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2022-02-27 14:11:29.906 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2022-02-27 14:11:29.909 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2022-02-27 14:11:29.971 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2022-02-27 14:11:29.975 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2022-02-27 14:11:30.127 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2022-02-27 14:11:30.127 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2022-02-27 14:11:30.135 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2022-02-27 14:11:30.363 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2022-02-27 14:11:30.445 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2022-02-27 14:11:30.448 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2022-02-27 14:11:30.467 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2022-02-27 14:11:30.485 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@42373389
[DEBUG] 2022-02-27 14:11:30.485 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@42373389
[DEBUG] 2022-02-27 14:11:30.486 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@42373389
[DEBUG] 2022-02-27 14:11:30.486 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@7c36db44
[DEBUG] 2022-02-27 14:11:30.486 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@42ea287
[DEBUG] 2022-02-27 14:11:30.486 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@65a48602
[DEBUG] 2022-02-27 14:11:30.487 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@612e21b9
[DEBUG] 2022-02-27 14:11:30.487 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@612e21b9
[DEBUG] 2022-02-27 14:11:30.487 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@612e21b9
[DEBUG] 2022-02-27 14:11:30.487 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@1a865273
